Año,Código Único,Nivel Global,Nivel Carrera,Nombre Carrera,Área Carrera Genérica,Tipo Carrera,Versión,Área del conocimiento,Acreditación Carrera o Programa,Modalidad,Jornada,Nombre Sede,Nombre Título,Grado Académico,Año Inicio,Vacantes Semestre Uno,Vacantes Semestre Dos,Arancel Anual,Duración Total,Vigencia
2011,I73S2C113J1V1,Posgrado,Magister,"MAGISTER EN CIENCIAS BIOMEDICAS M/ BIOLOGIA DE LA REPRODUCCION, MICROBIOLOGIA APLICADA O FISIOLOGIA APLICADA",Magister en Salud,Plan Regular,1,Salud,Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS BIOMEDICAS MENCION BIOLOGIA DE LA REPRODUCCION, MICROBIOLOGIA APLICADA O FISIOLOGIA APLICADA",2001,20,0,1100000,4,Vigente con estudiantes nuevos
2011,I73S2C104J1V1,Posgrado,Magister,"MAGISTER EN CIENCIAS CON MENCION ESTADISTICA INDUSTRIAL, MENCION MATEMATICA APLICADA",Magister en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN CIENCIAS CON MENCION EN ESTADISTICA INDUSTRIAL O MATEMATICAS APLICADAS,2004,20,0,1550000,4,Vigente con estudiantes nuevos
2011,I73S2C101J1V1,Posgrado,Magister,MAGISTER EN CIENCIAS DE LA INGENIERIA M/ INGENIERIA DE PROCESOS DE MINERALES,Magister en Tecnología,Plan Regular,1,Tecnología,Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS DE LA INGENIERIA, MENCION INGENIERIA DE PROCESOS DE MINERALES",1998,20,0,1500000,3,Vigente con estudiantes nuevos
2011,I73S2C100J1V1,Posgrado,Magister,MAGISTER EN CIENCIAS ODONTOLOGICAS CON MENCIONES DE ESPECIALIZACION CLINICA,Magister en Salud,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS ODONTOLOGICAS CON MENCION EN CIRUGIA Y TRAUMATOLOGIA MAXILOFACIAL, PERIODONCIA O REHABILITACION ORAL",2007,5,0,4000000,6,Vigente con estudiantes nuevos
2011,I73S2C102J1V1,Posgrado,Magister,"MAGISTER EN CIENCIAS SOCIALES CON MENCION SUJETOS Y PROCESOS SOCIALES, MENCION EN GESTION DIRECTIVA, MENCION COMUNICACION ESTRATEGICA",Magister en Ciencias Sociales,Plan Regular,1,Ciencias Sociales,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN CIENCIAS SOCIALES CON MENCION SUJETOS Y PROCESOS SOCIALES, MENCION EN GESTION DIRECTIVA, MENCION COMUNICACION ESTRATEGICA",2007,20,20,1465000,3,Vigente con estudiantes nuevos
2011,I73S2C148J1V1,Posgrado,Magister,MAGISTER EN DERECHO,Magister en Derecho,Plan Regular,1,Derecho,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN DERECHO,2000,20,0,1800000,4,Vigente con estudiantes nuevos
2011,I73S2C149J1V1,Posgrado,Magister,MAGISTER EN DESARROLLO ENERGETICO,Magister en Tecnología,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN DESARROLLO ENERGETICO,2000,20,0,2625000,4,Vigente con estudiantes nuevos
2011,I73S2C178J1V1,Posgrado,Magister,MAGISTER EN ECOLOGIA DE SISTEMAS ACUATICOS,Magister en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN ECOLOGIA DE SISTEMAS ACUATICOS,2010,20,0,1000000,4,Vigente con estudiantes nuevos
2011,I73S2C150J1V1,Posgrado,Magister,MAGISTER EN INGENIERIA Y TECNOLOGIA DE LOS MATERIALES,Magister en Tecnología,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN INGENIERIA Y TECNOLOGIA DE LOS MATERIALES,2010,20,10,4326694,4,Vigente con estudiantes nuevos
2011,I73S2C105J1V1,Posgrado,Magister,MAGISTER EN MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,Magister en Tecnología,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,MAGISTER EN MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,2007,20,0,1579244,4,Vigente con estudiantes nuevos
2011,I73S2C110J1V1,Posgrado,Magister,"MAGISTER EN SALUD PUBLICA CON MENCION SALUD OCUPACIONAL, MENCION SALUD FAMILIAR, MENCION EPIDEMIOLOGIA",Magister en Salud,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,"MAGISTER EN SALUD PUBLICA CON MENCION SALUD OCUPACIONAL, MENCION SALUD FAMILIAR, MENCION EPIDEMIOLOGIA",2006,20,0,2390512,4,Vigente con estudiantes nuevos
2011,I73S2C145J1V1,Postítulo,Especialidad Médica U Odontológica,PROGRAMA DE ESPECIALIZACION EN ODONTOPEDIATRIA,Postítulo en Salud,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,ESPECIALISTA EN ODONTOPEDIATRIA,2008,5,0,3900000,4,Vigente con estudiantes nuevos
2011,I73S2C146J1V1,Postítulo,Especialidad Médica U Odontológica,"PROGRAMA DE ESPECIALIZACION EN PERIODONCIA, MENCION IMPLANTOLOGIA",Postítulo en Salud,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,ESPECIALISTA EN PERIODONCIA,2008,5,0,3900000,4,Vigente con estudiantes nuevos
2011,I73S2C111J1V1,Postítulo,Especialidad Médica U Odontológica,PROGRAMA DE FORMACION DE ESPECIALISTAS EN PEDIATRIA,Postítulo en Salud,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,ESPECIALISTA EN PEDIATRIA,2007,5,0,3200000,6,Vigente con estudiantes nuevos
2011,I73S2C1J1V1,Pregrado,Profesional Con Licenciatura,ADMINISTRACION DE EMPRESAS MENCION RRHH,Administración de Empresas e Ing. Asociadas,Plan Regular,1,Administración y Comercio,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,ADMINISTRADOR DE EMPRESAS MENCION EN RECURSOS HUMANOS,LICENCIADO EN CIENCIAS DE LA ADMINISTRACION,1994,25,0,2289000,10,Vigente con estudiantes nuevos
2011,I73S2C2J1V1,Pregrado,Profesional Con Licenciatura,ADMINISTRACION PUBLICA,Administración Pública,Plan Regular,1,Ciencias Sociales,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,ADMINISTRADOR PUBLICO,LICENCIADO EN CIENCIAS DE LA ADMINISTRACION,1994,25,0,2366000,10,Vigente con estudiantes nuevos
2011,I73S2C3J1V1,Pregrado,Técnico de Nivel Superior,ANALISIS QUIMICO,Técnico en Química (Análisis e Industrial),Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,ANALISTA QUIMICO,BACHILLER EN QUIMICA,1981,0,0,2205000,6,Vigente sin estudiantes nuevos
2011,I73S2C48J1V1,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",BACHILLERATO EN CIENCIAS,Bachillerato y/o Licenciatura en Ciencias Básicas,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,BACHILLER EN CIENCIAS,2004,40,0,1777000,4,Vigente con estudiantes nuevos
2011,I73S2C181J1V1,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",BACHILLERATO EN CIENCIAS DE LA SALUD,Bachillerato y/o Licenciatura en Salud,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,BACHILLER EN CIENCIAS DE LA SALUD,2011,55,0,2650000,4,Vigente con estudiantes nuevos
2011,I73S2C40J1V1,Pregrado,Profesional Con Licenciatura,BIOQUIMICA,Bioquímica,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,BIOQUIMICO,LICENCIADO EN BIOQUIMICA,2006,20,0,2794000,10,Vigente con estudiantes nuevos
2011,I73S2C10J1V1,Pregrado,Profesional Con Licenciatura,BIOTECNOLOGIA,Biotecnología,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,BIOTECNOLOGO,LICENCIADO EN BIOTECNOLOGIA,2007,35,0,2757000,10,Vigente con estudiantes nuevos
2011,I73S2C4J1V1,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",CICLO BASICO EN QUIMICA,"Química, Licenciado en Química",Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,NO OTORGA TITULO,BACHILLER EN QUIMICA,1993,0,0,2205000,4,Vigente sin estudiantes nuevos
2011,I73S2C5J1V1,Pregrado,Profesional Con Licenciatura,DERECHO,Derecho,Plan Regular,1,Derecho,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,ABOGADO (OTORGADO POR LA CORTE SUPREMA),LICENCIADO EN CIENCIAS JURIDICAS,1993,80,0,2801000,12,Vigente con estudiantes nuevos
2011,I73S2C6J1V1,Pregrado,Profesional Sin Licenciatura,DISEÑO GRAFICO PUBLICITARIO,Diseño Gráfico,Plan Regular,1,Arte y Arquitectura,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,DISEÑADOR GRAFICO PUBLICITARIO,SIN GRADO,1981,30,0,2452000,10,Vigente con estudiantes nuevos
2011,I73S2C7J1V1,Pregrado,Profesional Con Licenciatura,ECOLOGIA MARINA MENCION EN MANEJO DE RECURSOS O IMPACTO AMBIENTAL,Biología Marina y Ecología Marina,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,ECOLOGO MARINO MENCION MANEJO DE RECURSOS O IMPACTO AMBIENTAL,LICENCIADO EN CIENCIAS ECOLOGICAS,2002,15,0,2302000,10,Vigente con estudiantes nuevos
2011,I73S2C8J1V1,Pregrado,Profesional Con Licenciatura,EDUCACION PARVULARIA,Pedagogía en Educación de Párvulos,Plan Regular,1,Educación,Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,EDUCADOR(A) DE PARVULOS,LICENCIADO EN EDUCACION,1981,30,0,1896000,9,Vigente con estudiantes nuevos
2011,I73S2C9J1V1,Pregrado,Profesional Con Licenciatura,ENFERMERIA,Enfermería,Plan Regular,1,Salud,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,ENFERMERO(A),LICENCIADO EN ENFERMERIA,1981,50,0,2629000,10,Vigente con estudiantes nuevos
2011,I73S2C38J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL EN GEOMATICA,Ingeniería Civil en Geomática y Geomensura,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL GEOMATICO,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN GEOMATICA,2006,20,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C180J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL EN PROCESOS DE MINERALES,Ingeniería Civil en Minas,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL EN PROCESOS DE MINERALES,LICENCIADO EN CIENCIAS DE LA INGENIERIA,2011,30,0,2757000,12,Vigente con estudiantes nuevos
2011,I73S2C39J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL,Ingeniería Civil Industrial,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL,LICENCIADO EN CIENCIAS DE LA INGENIERIA,2005,0,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C39J1V5,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL,Ingeniería Civil Industrial,Plan Especial,5,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL,LICENCIADO EN CIENCIAS DE LA INGENIERIA,2008,0,0,0,6,Vigente sin estudiantes nuevos
2011,I73S2C39J1V6,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL,Ingeniería Civil Industrial,Plan Especial,6,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL,LICENCIADO EN CIENCIAS DE LA INGENIERIA,2009,0,0,1982000,6,Vigente sin estudiantes nuevos
2011,I73S2C39J1V7,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL,Ingeniería Civil Industrial,Plan Especial,7,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL,LICENCIADO EN CIENCIAS DE LA INGENIERIA,2011,0,0,2300000,6,Vigente con estudiantes nuevos
2011,I73S2C11J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN ELECTRICIDAD,Ingeniería Civil Industrial,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN ELECTRICIDAD,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN ELECTRICIDAD,1981,0,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C14J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN ELECTRONICA,Ingeniería Civil Industrial,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN ELECTRONICA,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN ELECTRONICA,1981,0,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C15J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN MINAS,Ingeniería Civil Industrial,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN MINAS,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MINAS,1982,0,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C15J1V3,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN MINAS,Ingeniería Civil Industrial,Plan Especial,3,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN MINAS,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MINAS,0,0,0,0,8,Vigente sin estudiantes nuevos
2011,I73S2C15J1V4,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN MINAS,Ingeniería Civil Industrial,Plan Especial,4,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN MINAS,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MINAS,0,0,0,0,8,Vigente sin estudiantes nuevos
2011,I73S2C15J1V5,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN MINAS,Ingeniería Civil Industrial,Plan Especial,5,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN MINAS,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MINAS,2008,0,0,1906000,8,Vigente sin estudiantes nuevos
2011,I73S2C15J1V7,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN MINAS,Ingeniería Civil Industrial,Plan Especial,7,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN MINAS,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MINAS,2009,0,0,0,8,Vigente sin estudiantes nuevos
2011,I73S2C15J1V8,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN MINAS,Ingeniería Civil Industrial,Plan Especial,8,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN MINAS,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MINAS,2011,0,0,2200000,6,Vigente con estudiantes nuevos
2011,I73S2C13J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL EN QUIMICA,Ingeniería Civil Industrial,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL EN QUIMICA,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN QUIMICA,1981,0,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C12J1V1,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL MECANICA,Ingeniería Civil Industrial,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL MECANICO,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MECANICA,1981,0,0,2620000,12,Vigente con estudiantes nuevos
2011,I73S2C12J1V4,Pregrado,Profesional Con Licenciatura,INGENIERIA CIVIL INDUSTRIAL MECANICA,Ingeniería Civil Industrial,Plan Especial,4,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO CIVIL INDUSTRIAL MECANICO,LICENCIADO EN CIENCIAS DE LA INGENIERIA CON MENCION EN MECANICA,2011,0,0,2300000,6,Vigente con estudiantes nuevos
2011,I73S2C17J1V1,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN ELECTRICIDAD,Ingeniería en Electricidad,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN ELECTRICIDAD,SIN GRADO,2000,0,0,2620000,8,Vigente con estudiantes nuevos
2011,I73S2C17J1V2,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN ELECTRICIDAD,Ingeniería en Electricidad,Plan Especial,2,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN ELECTRICIDAD,SIN GRADO,0,0,0,1768000,8,Vigente sin estudiantes nuevos
2011,I73S2C17J1V3,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN ELECTRICIDAD,Ingeniería en Electricidad,Plan Especial,3,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN ELECTRICIDAD,SIN GRADO,2011,0,0,2300000,8,Vigente con estudiantes nuevos
2011,I73S2C16J1V1,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN ELECTRONICA,Ingeniería en Electrónica,Plan Regular,1,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN ELECTRONICA,SIN GRADO,1981,0,0,2620000,8,Vigente con estudiantes nuevos
2011,I73S2C18J1V1,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN GEOMENSURA,Ingeniería en Geomensura y Cartografía,Plan Regular,1,Ciencias Básicas,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN GEOMENSURA,SIN GRADO,1981,0,0,2620000,8,Vigente con estudiantes nuevos
2011,I73S2C157J1V3,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN MECANICA,Ingeniería Mecánica,Plan Especial,3,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN MECANICA,SIN GRADO,2008,0,0,1875000,8,Vigente sin estudiantes nuevos
2011,I73S2C157J1V4,Pregrado,Profesional Sin Licenciatura,INGENIERIA DE EJECUCION EN MECANICA,Ingeniería Mecánica,Plan Especial,4,Tecnología,No Acreditada,Presencial,Diurna,SEDE CAMPUS COLOSO,INGENIERO DE EJECUCION EN MECANICA,SIN GRADO,2011,0,0,2300000,8,Vigente con estudiantes nuevos
